protein_a	protein_b	involves_dark	genetic_assays
Q06344	Q08972	0	Negative Genetic;Positive Genetic
Q06344	Q08492	0	Negative Genetic
Q06339	Q12308	0	Negative Genetic
Q06338	Q12522	0	Negative Genetic
Q06338	Q08961	0	Negative Genetic;Phenotypic Enhancement;Synthetic Growth Defect
Q06287	Q99207	0	Negative Genetic
Q06287	Q12339	0	Negative Genetic
Q06287	Q08096	0	Negative Genetic
Q06287	Q07623	0	Synthetic Rescue
Q06287	Q06506	0	Negative Genetic
Q06265	Q99547	0	Negative Genetic
Q06224	Q08553	0	Synthetic Rescue
Q06218	Q12099	0	Negative Genetic
Q06218	Q08237	0	Negative Genetic
Q06218	Q08235	0	Negative Genetic
Q06218	Q08208	0	Negative Genetic
Q06218	Q08004	0	Negative Genetic
Q06218	Q07915	0	Negative Genetic
Q06218	Q06344	0	Negative Genetic
Q06217	Q99177	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q06217	Q12368	0	Negative Genetic
Q06217	Q12330	0	Synthetic Growth Defect;Synthetic Lethality
Q06217	Q12309	0	Negative Genetic
Q06217	Q12052	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q06217	Q12046	0	Negative Genetic
Q06217	Q08963	0	Synthetic Growth Defect;Synthetic Lethality
Q06217	Q08920	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q06217	Q07930	0	Negative Genetic
Q06217	Q07508	0	Negative Genetic
Q06217	Q06525	0	Negative Genetic
Q06217	Q06406	0	Positive Genetic
Q06213	Q99278	0	Negative Genetic
Q06213	Q12030	0	Negative Genetic
Q06213	Q08278	0	Negative Genetic
Q06188	Q08465	0	Phenotypic Enhancement
Q06162	Q12748	0	Phenotypic Suppression
Q06162	Q12493	0	Phenotypic Enhancement
Q06162	Q12262	0	Phenotypic Suppression
Q06162	Q06675	0	Phenotypic Suppression
Q06156	Q06680	0	Negative Genetic
Q06150	Q12285	0	Phenotypic Enhancement
Q06147	Q12246	0	Phenotypic Enhancement;Positive Genetic;Synthetic Growth Defect
Q06144	Q3E790	0	Phenotypic Suppression;Synthetic Lethality;Synthetic Rescue
Q06142	Q99257	0	Negative Genetic
Q06132	Q12099	0	Phenotypic Suppression;Synthetic Growth Defect;Synthetic Rescue
Q06109	Q12393	0	Synthetic Growth Defect
Q06109	Q12167	0	Synthetic Growth Defect
Q06107	Q12346	0	Negative Genetic
Q06106	Q12460	0	Negative Genetic
Q06106	Q08492	0	Negative Genetic
Q06106	Q08235	0	Positive Genetic
Q06106	Q08208	0	Positive Genetic
Q06106	Q07897	0	Negative Genetic
Q06106	Q07623	0	Negative Genetic
Q06106	Q06679	0	Synthetic Growth Defect
Q06106	Q06287	0	Negative Genetic
Q06103	Q12377	0	Negative Genetic
Q06103	Q12250	0	Negative Genetic
Q06103	Q08723	0	Negative Genetic
Q06102	Q12102	0	Negative Genetic
Q06102	Q08685	0	Negative Genetic;Positive Genetic
